,total,reg1,reg2,reg3,reg4,reg5,reg9,setA,setE,setF,setG,setU,setZ
2020-01-01,111973,2810,-3386,32202,60162,20172,13,16487,58265,35868,-51724,53077,0
2020-02-01,217235,10790,2211,107437,70375,26429,-7,3668,39977,25990,9056,138545,-1
2020-03-01,-294950,-7538,-69970,-159653,-40216,-17569,-4,-8517,-42788,-17642,-89218,-136785,0
2020-04-01,-981800,-32796,-153287,-505532,-225073,-65112,0,-6837,-217738,-75304,-265611,-416310,0
2020-05-01,-398262,-12751,-63984,-211134,-91230,-19232,69,14791,-107813,-23952,-106404,-174883,-1
2020-06-01,-53570,5511,-10170,-47032,-6763,4748,136,37708,-8932,15564,-27555,-70355,0
2020-07-01,108578,15766,20189,33694,25936,12991,2,22424,49451,40724,20808,-24829,0
2020-08-01,214615,22835,55761,86385,36659,12967,8,8027,90202,50522,43713,22151,0
2020-09-01,299380,21805,86297,118151,58124,14993,10,5320,111315,47379,66423,68943,0
2020-10-01,366041,20815,64640,173164,86098,21160,164,-4501,84139,35040,110633,140730,0
2020-11-01,376149,14543,65203,198097,85116,13023,167,-21819,46224,16056,176935,158753,0
2020-12-01,-157491,-11431,-13144,-79965,-35983,-17176,208,-30179,-51120,-52764,46850,-70278,0
2021-01-01,254323,8259,27276,98666,82094,37142,886,36495,91012,44307,10110,72399,0
2021-02-01,396023,13546,37316,201766,101072,41453,870,24698,93521,45078,67269,165457,0
2021-03-01,151835,9293,-1609,88857,41054,13566,674,2973,37407,24298,6149,81008,0
2021-04-01,88326,9742,13225,32225,15271,17198,665,10376,14840,22542,1377,39191,0
2021-05-01,264813,18390,35305,149294,34295,26648,881,37886,42493,21982,58813,103640,-1
2021-06-01,313126,24154,48875,159850,42300,36916,1031,38313,51100,23931,75980,123802,0
2021-07-01,302623,23515,52227,151951,40942,33357,631,25042,57931,30098,74614,114939,-1
2021-08-01,382059,22016,84860,187921,55486,31140,636,10097,73436,35429,80943,182155,-1
2021-09-01,324529,17484,94159,142298,47980,21606,1002,10637,76525,26817,64171,146379,0
2021-10-01,247531,9074,50699,117389,52290,17080,999,-6456,26129,16131,69605,142124,-2
2021-11-01,304246,16541,54291,169130,51029,12871,384,-19772,5638,9403,136947,172030,0
2021-12-01,-281792,-14107,-17752,-145368,-82130,-22344,-91,-27344,-93582,-54007,6523,-113381,-1
2022-01-01,155178,2435,5388,52651,58773,33858,2073,25014,51419,36809,-60088,102026,-2
